
# CXI DS1 Metrology Jun 2011

# Point	X	Y	Z

# quad 0
1	0	0	0
2	4	20907	19
3	43539	20907	5
4	43536	2	27
5	54	23556	60
6	184	44467	57
7	43723	44208	16
8	43597	23301	3
9	336	47011	12
10	358	90551	25
11	21261	90543	3
12	21230	47001	12
13	23816	46941	3
14	23575	90478	0
15	44484	90592	8
16	44721	47053	10
17	47475	46102	21
18	47420	67008	21
19	90963	67121	29
20	91014	46213	52
21	47456	69473	2
22	47433	90372	21
23	90966	90438	46
24	91001	69527	36
25	44393	156	32
26	44476	43697	27
27	65373	43657	23
28	65298	118	37
29	67712	89	39
30	67876	43633	24
31	88787	43553	48
32	88620	15	64

# quad 1
1	0	0	0
2	4	20907	19
3	43539	20907	5
4	43536	2	27
5	54	23556	60
6	184	44467	57
7	43723	44208	16
8	43597	23301	3
9	336	47011	12
10	358	90551	25
11	21261	90543	3
12	21230	47001	12
13	23816	46941	3
14	23575	90478	0
15	44484	90592	8
16	44721	47053	10
17	47475	46102	21
18	47420	67008	21
19	90963	67121	29
20	91014	46213	52
21	47456	69473	2
22	47433	90372	21
23	90966	90438	46
24	91001	69527	36
25	44393	156	32
26	44476	43697	27
27	65373	43657	23
28	65298	118	37
29	67712	89	39
30	67876	43633	24
31	88787	43553	48
32	88620	15	64

# quad 2
1	0	0	0
2	0	20908	15
3	43537	20899	29
4	43539	3	51
5	21	23383	15
6	33	44293	24
7	43581	44254	30
8	43561	23349	31
9	226	46977	25
10	285	90516	24
11	21193	90488	7
12	21132	46946	11
13	23721	46795	4
14	23641	90331	13
15	44541	90374	8
16	44633	46838	23
17	47047	46002	25
18	47186	66902	0.5
19	90722	66629	29
20	90585	45726	52
21	47253	69325	2
22	47367	90220	8
23	90907	89980	37
24	90791	69081	39
25	44326	70	66
26	44260	44485	16
27	65153	43501	26
28	65228	36	78
29	67623	74	92
30	67750	43462	20
31	88651	43408	51
32	88528	130	102

# quad 3
1	0	0	0
2	5	20909	7
3	43534	20908	27
4	43534	4	59
5	45	23289	24
6	3	44193	22
7	43539	44284	39
8	43583	23387	26
9	244	47064	22
10	52	90603	4
11	20948	90698	2
12	21148	47161	18
13	23652	47132	5
14	23309	90672	7
15	44216	90831	13
16	44554	47294	27
17	47193	46557	33
18	47254	67463	9
19	90796	67327	41
20	90726	46419	69
21	47284	69893	14
22	47312	90799	17
23	90854	90729	53
24	90688	69961	40
25	44437	121	50
26	44192	43661	33
27	65097	43778	31
28	65345	242	61
29	67838	156	84
30	67592	43697	30
31	88492	43815	74
32	88743	275	101
